物资编码,品  名  规  格,单位,货架号,位置,数量,单价,金额
15120048,草果,斤,,徐博馆仓库,1.00,30.000,30.00
15120049,甘草,斤,,徐博馆仓库,1.00,15.000,15.00
15120054,豆扣,斤,,徐博馆仓库,1.00,30.000,30.00
15120057,石斛,斤,,徐博馆仓库,1.00,719.260,719.26
15120059,灵芝,斤,,徐博馆仓库,4.00,85.000,340.00
15120074,锁阳,斤,,徐博馆仓库,2.00, , 
15120086,西藏红花,g,,徐博馆仓库,113.50,13.392,"1,520.00"
15120102,虫草花,斤,,徐博馆仓库,1.00,80.000,80.00
15120115,青花椒,斤,,徐博馆仓库,2.00,38.000,76.00
15120119,地龙干,斤,,徐博馆仓库,2.00,85.000,170.00
15120133,石斛花（金兰花）,斤,,徐博馆仓库,1.00,"1,100.000","1,100.00"
15120138,川弓,斤,,徐博馆仓库,0.20,65.000,13.00
15120143,宝光珍珠,斤,,徐博馆仓库,1.99,982.874,"1,955.92"
15120156,鹿茸片 37.5G,包,,徐博馆仓库,22.00,200.000,"4,400.00"
15120171,刺龟壳（海胆）,斤,,徐博馆仓库,3.00,48.000,144.00
15120172,黄芪,斤,,徐博馆仓库,2.00,108.000,216.00
15120175,15年陈皮,斤,,徐博馆仓库,15.20,464.670,"7,062.99"
15130002,十三香 40g,盒,,徐博馆仓库,10.00,1.800,18.00
,食品,,,,,,"103,760.52"
1617,雪茶,KG,,徐博馆仓库,3.50,150.000,525.00
1623,西藏雪菊花,斤,,徐博馆仓库,6.00,24.000,144.00
,饮料,,,,,,669.00
17070001,运费,次,,徐博馆仓库,2.00,23.000,46.00
Y1020082,高级料理刀,把,,徐博馆仓库,1.00,500.000,500.00
Y1020083,双立人刀,把,,徐博馆仓库,1.00,500.000,500.00
合计,,,,,"1,623.69",294.073,"476,437.56"
