id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
309,粉葛云苓炖山斑鱼（2月套餐）,位,RMB,93.75,150.0,14062.50,5,2,1
310,京葱烧日本北海道60头刺参,位,RMB,298.00,57.0,16986.00,5,5,1
311,紫姜砂窝牛仔骨（中）,中,RMB,256.00,6.0,1536.00,5,11,1
312,蟹黄蟹肉兰度（位）,位,RMB,60.00,38.0,2280.00,5,9,1
313,双黄白莲蓉,个,RMB,36.00,7.0,252.00,2,8,1
314,火山石窝龙趸扒,位,RMB,98.00,174.0,17052.00,8,3,2
315,绿茶燕窝炒蛋白,位,RMB,98.00,3.0,294.00,6,5,1
316,开刀东星头腩,斤,RMB,298.00,24.6,7330.80,8,8,1
317,野米煮淮山,位,RMB,48.00,25.0,1200.00,5,10,1
318,珍品凉菜三拼（2月套餐）,份,RMB,52.99,5.0,264.96,1,4,1
319,黄牛肝菌炒雪花牛柳,例,RMB,180.00,1.0,180.00,5,6,1
320,黑竹盐极品牛肉,位,RMB,280.00,112.0,31360.00,4,12,1
321,补气鲜参灌汤包（特）,份,RMB,26.00,303.0,7878.00,3,5,1
322,珍菌炒鹅肝粒（3月套餐）,份,RMB,75.53,55.0,4154.15,5,3,2
323,雪菜黄鱼稻庭汤面,位,RMB,38.00,33.0,1254.00,3,4,1
324,雪菜黄鱼稻庭汤面,位,RMB,38.00,22.0,836.00,3,4,2
325,酒烧台湾野生乌鱼籽,位,RMB,68.00,2.0,136.00,4,9,1
326,三文鱼腩,件,RMB,25.00,4.0,100.00,1,12,1
327,荞菜炒北极贝,例,RMB,88.00,1.0,88.00,5,2,1
328,肉碎鱼汤米线,位,RMB,28.00,1.0,28.00,5,11,1
329,香煎飞弹牛肉,位,RMB,468.00,6.0,2808.00,5,1,1
330,绍兴10年花雕,支,RMB,298.00,6.0,1788.00,2,3,2
331,玫瑰焗桑果鸡,例,RMB,98.00,1.0,98.00,5,5,1
332,鹅肝粒炒饭(2月套餐),份,RMB,48.30,9.0,434.70,5,4,2
333,栗子焖鸡,份,RMB,78.00,8.0,624.00,5,1,2
334,南非野生鲍（半价）,斤,RMB,300.00,11.6,3480.00,8,3,1
335,日本樱花虾酱（瓶）,瓶,RMB,90.00,1.0,90.00,5,4,1
336,石窝紫姜牛仔骨(12套餐),份,RMB,66.73,46.0,3069.58,5,3,1
337,芝士牛油野鸡卷（大）,份,RMB,22.00,35.0,770.00,3,2,1
338,农家炒土猪肉,例,RMB,68.00,157.0,10676.00,5,12,1
339,博士养生茶(增加）,位,RMB,0.00,1028.0,0.00,2,12,1
340,什菌煲,例,RMB,98.00,1.0,98.00,5,12,1
341,美国岩米煮雪鱼丸,例,RMB,238.00,1.0,238.00,5,1,1
342,珍菌煎西班牙火腿片,位,RMB,128.00,4.0,512.00,5,3,1
343,日本鱼沼米生滚粥（中）,中,RMB,168.00,3.0,504.00,5,10,1
344,双黄班兰莲蓉月,个,RMB,38.00,1.0,38.00,2,6,1
345,露笋百合炒猪肉,例,RMB,78.00,1.0,78.00,5,4,1
346,小食,份,RMB,15.00,7.0,105.00,5,2,1
347,鹅肝粒炒饭(2月套餐),份,RMB,46.72,9.0,420.49,5,2,2
348,日本吉品鲍鱼酥,位,RMB,48.00,6.0,288.00,3,1,2
349,津梨炖岩燕盏,位,RMB,180.00,23.0,4140.00,6,7,1
350,迷你蛋黄豆沙月饼,个,RMB,18.00,3.0,54.00,2,9,1
